trade_size_bin,candidate_trades,attacked_trades,unattacked_trades,candidate_volume_usd,attacked_volume_usd,attack_rate,attack_rate_pct,ci95_low_pct,ci95_high_pct,sample,trade_size
10_50000_100000,2762622,30321,2732301,194879406714.92923,2130792122.546927,0.010975442894467648,1.0975442894467649,1.0853263521143246,1.1098982254852359,30m_robustness_all_project_versions,$50k–100k
11_100000_plus,3135410,37169,3098241,1393141102946.0994,16503150040.254007,0.011854589989825892,1.1854589989825892,1.173538724486614,1.1974988870661722,30m_robustness_all_project_versions,≥$100k
01_<100,52904139,267474,52636665,1977373178.8514962,14451677.204572456,0.005055823704077293,0.5055823704077294,0.5036747942095227,0.5074971343518085,24m_coverage_conservative,<$100
02_100_250,31520401,420839,31099562,5232022390.44871,72675931.67712927,0.013351321260157827,1.3351321260157827,1.331131271662675,1.3391448421509262,24m_coverage_conservative,$100–250
03_250_500,27767339,534832,27232507,10083970505.208841,198513100.41782403,0.01926119027826181,1.926119027826181,1.9210135762496947,1.9312377809155383,24m_coverage_conservative,$250–500
04_500_1000,27153446,643200,26510246,19545122860.694138,473008375.70832247,0.023687601198021054,2.3687601198021055,2.363046926786044,2.374486789812629,24m_coverage_conservative,$500–1k
05_1000_2500,30521123,785620,29735503,48701907985.10452,1256154714.7945669,0.02574020621718277,2.574020621718277,2.5684084651155215,2.579644716605471,24m_coverage_conservative,$1k–2.5k
06_2500_5000,16814397,467033,16347364,59533840518.6558,1670407227.1951034,0.027775780481452888,2.7775780481452887,2.76973423519852,2.78544343819029,24m_coverage_conservative,$2.5k–5k
07_5000_10000,11178116,308317,10869799,78488045314.77144,2180450843.967616,0.027582197214629012,2.7582197214629014,2.748635205396476,2.7678367076327306,24m_coverage_conservative,$5k–10k
08_10000_25000,8452937,202685,8250252,130983141096.89069,3072919787.847869,0.02397805638442591,2.3978056384425908,2.3875143451405614,2.4081401976027035,24m_coverage_conservative,$10k–25k
09_25000_50000,3590246,63833,3526413,126579991452.85564,2219489126.7483296,0.017779561623353944,1.7779561623353943,1.764338219833518,1.791677297096212,24m_coverage_conservative,$25k–50k
10_50000_100000,2228294,27424,2200870,156638317445.13818,1918259774.9101756,0.012307173110909063,1.2307173110909062,1.2163250423725163,1.245277730751848,24m_coverage_conservative,$50k–100k
11_100000_plus,2512415,32600,2479815,1135795100191.0798,14447231093.186945,0.01297556335239202,1.297556335239202,1.2836370129403736,1.3116245884636537,24m_coverage_conservative,≥$100k
