window,project,adjusted_attack_probability,adjusted_attack_rate_pct,pooled_standardization_weight_on_observed_protocol_support,pooled_standardization_weight_extrapolated,standardization,support_note,scope,inferential_role
revised-24m,defiswap,0.010618766341840296,1.0618766341840296,0.975430013435991,0.024569986564008994,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,pancakeswap,0.010239630943496201,1.02396309434962,1.0,0.0,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,balancer,0.006500380662855545,0.6500380662855545,1.0,0.0,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,xchange,0.006150848720987976,0.6150848720987976,0.7264856477314745,0.2735143522685255,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,fraxswap,0.0035755828781099033,0.3575582878109903,0.9958488355985786,0.004151164401421381,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,kyberswap,0.0031456278221907177,0.31456278221907175,0.9587267759023161,0.04127322409768386,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,curve,0.0029294524167293866,0.29294524167293867,1.0,0.0,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,bancor,0.001798788543549403,0.1798788543549403,0.9905697363402043,0.009430263659795712,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,fluid,0.0009337044996182466,0.09337044996182466,0.6337051958569349,0.36629480414306514,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
revised-24m,0x API,8.784381670974782e-06,0.0008784381670974783,0.6923093216776666,0.30769067832233343,observed pooled candidate-trade month x trade-size-bin distribution,model-standardized prediction; pooled target may include month x trade-size cells not empirically observed for this protocol. Support weights quantify observed versus extrapolated target mass; the estimand itself is unchanged.,conditional on protocols with >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand,descriptive standardized point estimate; no CI or ranking significance claimed
