window,scope,trade_size_bin,weighting,excluded_project,months,mean_standardized_bin_rate_pct,mean_standardized_reference_rate_pct,equal_month_standardized_difference_pp,equal_month_pooled_difference_pp,equal_month_matched_pooled_difference_pp,months_positive,months_negative,months_zero,observed_month_min_pp,observed_month_max_pp,inference_status,matched_cells,bin_candidate_coverage,reference_candidate_coverage,question,reference_bin,unit,analysis_role,h2_status,interpretation
24m,all_projects,08_10000_25000,overlap_exposure,,24,2.765336403364517,0.34770316745638574,2.417633235908131,1.908378173989835,1.9078073365342405,24,0,0,0.1200039831491302,6.485439555280749,descriptive_sensitivity_not_a_hypothesis_test,1005,0.9996107451669616,0.995226153702683,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
24m,all_projects,09_25000_50000,equal_project,,24,1.2435401769870336,0.1140245274094077,1.129515649577626,1.3483774872386103,1.3459449843046638,24,0,0,0.0537420367660539,3.332948577437142,descriptive_sensitivity_not_a_hypothesis_test,929,0.9991865060220411,0.9875549588584808,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
24m,all_projects,09_25000_50000,overlap_exposure,,24,2.04646494474383,0.2932053750013376,1.7532595697424922,1.3483774872386103,1.3459449843046638,24,0,0,0.05856591043826263,5.559255057804005,descriptive_sensitivity_not_a_hypothesis_test,929,0.9991865060220411,0.9875549588584808,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
24m,all_projects,10_50000_100000,equal_project,,24,1.435622199559382,0.12316626847953223,1.3124559310798498,0.7369020389873707,0.7329469454943963,24,0,0,0.003851896174555643,4.018247573213036,descriptive_sensitivity_not_a_hypothesis_test,857,0.9988478927642191,0.9814019680565511,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
24m,all_projects,10_50000_100000,overlap_exposure,,24,1.3480378765769903,0.2609268822574771,1.0871109943195132,0.7369020389873707,0.7329469454943963,24,0,0,0.16842677945779075,3.9290636522521702,descriptive_sensitivity_not_a_hypothesis_test,857,0.9988478927642191,0.9814019680565511,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
24m,all_projects,11_100000_plus,equal_project,,24,2.303070310440051,0.12732290833193852,2.175747402108112,0.7896905840215812,0.7851824279284997,24,0,0,0.027931720755926606,10.869546176763755,descriptive_sensitivity_not_a_hypothesis_test,800,0.9993872408075751,0.981807214045647,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
24m,all_projects,11_100000_plus,overlap_exposure,,24,1.3623279379710531,0.255630781694105,1.106697156276948,0.7896905840215812,0.7851824279284997,24,0,0,0.17582308289472004,2.404037017400601,descriptive_sensitivity_not_a_hypothesis_test,800,0.9993872408075751,0.981807214045647,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,02_100_250,equal_project,,30,0.37814215754911473,0.16587830475328574,0.21226385279582904,0.7048139349373773,0.7047864824058632,30,0,0,0.008490457365748617,1.184919382873559,descriptive_sensitivity_not_a_hypothesis_test,1381,0.9999997472959576,0.9998866696005728,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,02_100_250,overlap_exposure,,30,1.2046558569510266,0.5226676212233111,0.6819882357277155,0.7048139349373773,0.7047864824058632,30,0,0,0.15276126827333453,1.5025961974815871,descriptive_sensitivity_not_a_hypothesis_test,1381,0.9999997472959576,0.9998866696005728,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,03_250_500,equal_project,,30,0.5320651641877325,0.16336738667154324,0.3686977775161893,1.1499964560239284,1.1499641892791173,28,2,0,-0.029511119563443034,0.8850733582503425,descriptive_sensitivity_not_a_hypothesis_test,1355,0.9999996691191737,0.9998659402102097,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,03_250_500,overlap_exposure,,30,1.662042547872479,0.5160353248045434,1.146007223067936,1.1499964560239284,1.1499641892791173,30,0,0,0.12438450492697249,3.0056036801328565,descriptive_sensitivity_not_a_hypothesis_test,1355,0.9999996691191737,0.9998659402102097,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,04_500_1000,equal_project,,30,0.754428365563273,0.15949887032159296,0.5949294952416803,1.49482374601048,1.4947927808489447,30,0,0,0.1825897448316092,1.0562090298631674,descriptive_sensitivity_not_a_hypothesis_test,1340,0.9999994228456285,0.9998290920157201,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,04_500_1000,overlap_exposure,,30,2.039789566039235,0.5032878385502477,1.5365017274889872,1.49482374601048,1.4947927808489447,29,1,0,-0.010140673365349392,4.203674647194661,descriptive_sensitivity_not_a_hypothesis_test,1340,0.9999994228456285,0.9998290920157201,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,05_1000_2500,equal_project,,30,0.9395386510856305,0.19078058512924567,0.7487580659563846,1.6515406489274227,1.6515178845397185,28,2,0,-0.48955395889387676,1.8034532121020252,descriptive_sensitivity_not_a_hypothesis_test,1325,0.9999967437685339,0.9998480939568863,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,05_1000_2500,overlap_exposure,,30,2.2737344510261246,0.4881680379133924,1.785566413112733,1.6515406489274227,1.6515178845397185,29,1,0,-0.023836555385226606,5.422759499441829,descriptive_sensitivity_not_a_hypothesis_test,1325,0.9999967437685339,0.9998480939568863,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,06_2500_5000,equal_project,,30,1.223642251054404,0.14844224993898095,1.075200001115423,1.82149524550447,1.8215962115466817,29,1,0,-0.10100156215056047,4.722713792614512,descriptive_sensitivity_not_a_hypothesis_test,1303,0.9999802829808387,0.9992771476670288,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,06_2500_5000,overlap_exposure,,30,2.5173655925629204,0.45536645439554546,2.061999138167375,1.82149524550447,1.8215962115466817,29,1,0,-0.05047923727017006,6.120596127571217,descriptive_sensitivity_not_a_hypothesis_test,1303,0.9999802829808387,0.9992771476670288,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,07_5000_10000,equal_project,,30,1.4253612567363347,0.15184800159146006,1.2735132551448745,1.7950999362321338,1.7951026980018685,30,0,0,0.06787153399262494,3.3391924570632647,descriptive_sensitivity_not_a_hypothesis_test,1276,0.9998446625261718,0.9983052750167246,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,07_5000_10000,overlap_exposure,,30,2.571956308430927,0.41535138869499144,2.1566049197359347,1.7950999362321338,1.7951026980018685,29,1,0,-0.0960524393281574,6.795570985706377,descriptive_sensitivity_not_a_hypothesis_test,1276,0.9998446625261718,0.9983052750167246,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,08_10000_25000,equal_project,,30,1.1713470221935507,0.15090191901545544,1.0204451031780952,1.4991320101919394,1.4979376058152456,29,1,0,-0.015427132233464345,2.307418226847243,descriptive_sensitivity_not_a_hypothesis_test,1238,0.9995508506353984,0.9929351099037241,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,08_10000_25000,overlap_exposure,,30,2.3182414391977826,0.3711536273454708,1.9470878118523118,1.4991320101919394,1.4979376058152456,28,2,0,-0.13239489342888067,6.485439555280749,descriptive_sensitivity_not_a_hypothesis_test,1238,0.9995508506353984,0.9929351099037241,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,09_25000_50000,equal_project,,30,1.232577299135311,0.15270793629561724,1.0798693628396936,1.0690141164919849,1.065484946650879,28,2,0,-0.09465347224011474,4.991174358936107,descriptive_sensitivity_not_a_hypothesis_test,1136,0.9992140000041009,0.9845375779079588,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,09_25000_50000,overlap_exposure,,30,1.7627690820958266,0.3208023474799697,1.4419667346158564,1.0690141164919849,1.065484946650879,30,0,0,0.04768195071232538,5.559255057804005,descriptive_sensitivity_not_a_hypothesis_test,1136,0.9992140000041009,0.9845375779079588,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,10_50000_100000,equal_project,,30,1.2126337927775743,0.1604962954248999,1.0521374973526745,0.5985031391863508,0.592496717346312,27,3,0,-0.10889384041755433,4.018247573213036,descriptive_sensitivity_not_a_hypothesis_test,1048,0.9990038448980715,0.9761719428966608,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,10_50000_100000,overlap_exposure,,30,1.2233657807778615,0.31221810810493894,0.9111476726729226,0.5985031391863508,0.592496717346312,29,1,0,-0.056006645927682716,3.9290636522521702,descriptive_sensitivity_not_a_hypothesis_test,1048,0.9990038448980715,0.9761719428966608,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,11_100000_plus,equal_project,,30,1.9176298758946924,0.17539920474263884,1.7422306711520534,0.6935060124661266,0.6875484928126918,28,2,0,-0.18230762606903703,10.869546176763755,descriptive_sensitivity_not_a_hypothesis_test,992,0.9994817264727739,0.9783434073628848,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
30m,all_projects,11_100000_plus,overlap_exposure,,30,1.2895450939331419,0.3358178520890976,0.9537272418440439,0.6935060124661266,0.6875484928126918,29,1,0,-0.09406619273557466,2.404037017400601,descriptive_sensitivity_not_a_hypothesis_test,992,0.9994817264727739,0.9783434073628848,"Within the same project/version and month, how does the observed attack rate differ between each larger trade-size bin and trades under $100?",01_<100,percentage_points,main_descriptive_matched_comparison,not_directly_assessed_not_false,observed_incidence_difference_no_retail_identity_transfer_or_causation_claim
