window,scope,trade_size_bin,projects,positive_projects,negative_projects,zero_projects,median_project_difference_pp,min_project_difference_pp,max_project_difference_pp,min_observed_months,max_observed_months,largest_share_of_positive_project_mean_differences,interpretation
24m,exclude_primary_dominant_project,10_50000_100000,30,11,5,14,0.0,-2.5423728813559325,7.546726425679247,1,24,0.26445024971006637,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
24m,exclude_primary_dominant_project,11_100000_plus,29,12,4,13,0.0,-0.17543859649122806,21.277978750981063,1,24,0.3794354576241872,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,all_projects,02_100_250,34,18,2,14,0.009776187654883844,-0.16371927850849033,1.2717293360589743,1,30,0.19335157137077924,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,all_projects,03_250_500,33,17,3,13,0.0025656617280906684,-0.6215974648573982,1.7542924922813627,1,30,0.17698884745790416,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,all_projects,04_500_1000,33,17,3,13,0.02305888199441545,-0.12594458438287154,4.074232708762503,2,30,0.25121292840741805,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,all_projects,05_1000_2500,34,17,3,14,0.0012070468208528254,-25.0,3.7849239180656724,1,30,0.17210440439489635,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,all_projects,06_2500_5000,33,17,2,14,0.00294443441489569,-0.09570577264250703,8.236434108527131,1,30,0.24572809686526112,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,all_projects,07_5000_10000,33,17,2,14,0.002196158321850817,-0.07853298356336817,8.139534883720929,1,30,0.20732226542621446,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,all_projects,08_10000_25000,33,16,4,13,0.0,-0.9950248756218906,4.874762520825166,1,30,0.17891927462821272,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,all_projects,09_25000_50000,32,15,3,14,0.0,-0.18043544473816037,9.075138861685542,2,30,0.3173971107137488,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,all_projects,10_50000_100000,32,13,5,14,0.0,-2.5423728813559325,7.21487837760467,1,30,0.2705670369735643,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,all_projects,11_100000_plus,31,13,5,13,0.0,-0.3174977803252526,20.06820421597485,1,30,0.3971038668856104,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,exclude_primary_dominant_project,02_100_250,33,17,2,14,0.0009709237354768255,-0.16371927850849033,1.2717293360589743,1,30,0.20734538384613085,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,exclude_primary_dominant_project,03_250_500,32,16,3,13,0.0012828308640453342,-0.6215974648573982,1.7542924922813627,1,30,0.18998481260947653,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,exclude_primary_dominant_project,04_500_1000,32,16,3,13,0.011529440997207725,-0.12594458438287154,4.074232708762503,2,30,0.2659002979007675,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,exclude_primary_dominant_project,05_1000_2500,33,16,3,14,0.0,-25.0,3.7849239180656724,1,30,0.1810319272752326,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,exclude_primary_dominant_project,06_2500_5000,32,16,2,14,0.001472217207447845,-0.09570577264250703,8.236434108527131,1,30,0.2566586664123065,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,exclude_primary_dominant_project,07_5000_10000,32,16,2,14,0.0010980791609254085,-0.07853298356336817,8.139534883720929,1,30,0.2202692398301892,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,exclude_primary_dominant_project,08_10000_25000,32,15,4,13,0.0,-0.9950248756218906,4.874762520825166,1,30,0.2032464738627987,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,exclude_primary_dominant_project,09_25000_50000,31,14,3,14,0.0,-0.18043544473816037,9.075138861685542,2,30,0.34676087794785976,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,exclude_primary_dominant_project,10_50000_100000,31,12,5,14,0.0,-2.5423728813559325,7.21487837760467,1,30,0.28793992809972735,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
30m,exclude_primary_dominant_project,11_100000_plus,30,12,5,13,0.0,-0.3174977803252526,20.06820421597485,1,30,0.4041555035709048,equal_project_descriptive_distribution_unequal_month_coverage_not_population_inference
